Biosample,colA,colB,colC,projectGoldId,biosampleGoldId,sequencingStrategy
SAMEA7723487,250,36932,147.728,Gp0577846,Gb0297341,Metagenome
SAMEA7723487,250,36932,147.728,Gp0619438,Gb0297341,Targeted Gene Survey
SAMEA7724264,252,37293,147.9880952,Gp0452622,Gb0239996,Metagenome
SAMEA7724264,252,37293,147.9880952,Gp0619276,Gb0239996,Targeted Gene Survey
SAMEA7724251,268,39918,148.9477612,Gp0452609,Gb0239983,Metagenome
SAMEA7724251,268,39918,148.9477612,Gp0619263,Gb0239983,Targeted Gene Survey
SAMEA7723710,282,41869,148.4716312,Gp0618916,Gb0315822,Metagenome
SAMEA7723710,282,41869,148.4716312,Gp0619658,Gb0315822,Targeted Gene Survey
SAMEA7724265,282,41824,148.3120567,Gp0452623,Gb0239997,Metagenome
SAMEA7724265,282,41824,148.3120567,Gp0619277,Gb0239997,Targeted Gene Survey
SAMEA7727184,290,43048,148.4413793,Gp0452736,Gb0240110,Metagenome
SAMEA7723487,294,43401,147.622449,Gp0577846,Gb0297341,Metagenome
SAMEA7723487,294,43401,147.622449,Gp0619438,Gb0297341,Targeted Gene Survey
SAMEA7724251,298,44316,148.7114094,Gp0452609,Gb0239983,Metagenome
SAMEA7724251,298,44316,148.7114094,Gp0619263,Gb0239983,Targeted Gene Survey
SAMEA7724264,318,47300,148.7421384,Gp0452622,Gb0239996,Metagenome
SAMEA7724264,318,47300,148.7421384,Gp0619276,Gb0239996,Targeted Gene Survey
SAMEA7724119,334,49613,148.5419162,Gp0452567,Gb0239941,Metagenome
SAMEA7724119,334,49613,148.5419162,Gp0619202,Gb0239941,Targeted Gene Survey
SAMEA7724119,362,53748,148.4751381,Gp0452567,Gb0239941,Metagenome
SAMEA7724119,362,53748,148.4751381,Gp0619202,Gb0239941,Targeted Gene Survey
SAMEA7724120,414,61464,148.4637681,Gp0619203,Gb0239942,Targeted Gene Survey
SAMEA7724120,414,61464,148.4637681,Gp0452568,Gb0239942,Metagenome
SAMEA7723545,490,72693,148.3530612,Gp0619496,Gb0315449,Targeted Gene Survey
SAMEA7723545,490,72693,148.3530612,Gp0618543,Gb0315449,Metagenome
SAMEA7723434,506,75277,148.7687747,Gp0619153,Gb0240127,Targeted Gene Survey
SAMEA7723434,506,75277,148.7687747,Gp0452753,Gb0240127,Metagenome
SAMEA7724406,538,79732,148.2007435,Gp0619355,Gb0240109,Targeted Gene Survey
SAMEA7724406,538,79732,148.2007435,Gp0452735,Gb0240109,Metagenome
SAMEA7724120,554,82044,148.0938628,Gp0619203,Gb0239942,Targeted Gene Survey
SAMEA7724120,554,82044,148.0938628,Gp0452568,Gb0239942,Metagenome
SAMEA7723545,614,91057,148.3013029,Gp0619496,Gb0315449,Targeted Gene Survey
SAMEA7723545,614,91057,148.3013029,Gp0618543,Gb0315449,Metagenome
SAMEA7723434,622,92137,148.1302251,Gp0619153,Gb0240127,Targeted Gene Survey
SAMEA7723434,622,92137,148.1302251,Gp0452753,Gb0240127,Metagenome
SAMEA7724274,636,94374,148.3867925,Gp0619286,Gb0240006,Targeted Gene Survey
SAMEA7724274,636,94374,148.3867925,Gp0452632,Gb0240006,Metagenome
SAMEA7724403,680,100333,147.5485294,Gp0619352,Gb0240104,Targeted Gene Survey
SAMEA7724403,680,100333,147.5485294,Gp0452730,Gb0240104,Metagenome
SAMEA7724403,794,116842,147.1561713,Gp0619352,Gb0240104,Targeted Gene Survey
SAMEA7724403,794,116842,147.1561713,Gp0452730,Gb0240104,Metagenome
SAMEA7724260,930,138267,148.6741935,Gp0452618,Gb0239992,Metagenome
SAMEA7724260,930,138267,148.6741935,Gp0619272,Gb0239992,Targeted Gene Survey
SAMEA7723548,1048,153284,146.2633588,Gp0618546,Gb0315452,Metagenome
SAMEA7723548,1048,153284,146.2633588,Gp0619499,Gb0315452,Targeted Gene Survey
SAMEA7723548,1080,158034,146.3277778,Gp0618546,Gb0315452,Metagenome
SAMEA7723548,1080,158034,146.3277778,Gp0619499,Gb0315452,Targeted Gene Survey
SAMEA7724322,1186,176473,148.796796,Gp0620055,Gb0315658,Targeted Gene Survey
SAMEA7724322,1186,176473,148.796796,Gp0618752,Gb0315658,Metagenome
SAMEA7724266,1644,244444,148.6885645,Gp0452624,Gb0239998,Metagenome
SAMEA7724266,1644,244444,148.6885645,Gp0619278,Gb0239998,Targeted Gene Survey
SAMEA7723738,1740,257773,148.1454023,Gp0618551,Gb0315457,Metagenome
SAMEA7723738,1740,257773,148.1454023,Gp0619686,Gb0315457,Targeted Gene Survey
SAMEA7724266,1796,266699,148.4961024,Gp0452624,Gb0239998,Metagenome
SAMEA7724266,1796,266699,148.4961024,Gp0619278,Gb0239998,Targeted Gene Survey
SAMEA7723903,1800,265927,147.7372222,Gp0619170,Gb0240120,Targeted Gene Survey
SAMEA7723903,1800,265927,147.7372222,Gp0452746,Gb0240120,Metagenome
SAMEA7724218,1836,272921,148.6497821,Gp0619235,Gb0240096,Targeted Gene Survey
SAMEA7724218,1836,272921,148.6497821,Gp0452722,Gb0240096,Metagenome
SAMEA7723738,1880,278021,147.8835106,Gp0618551,Gb0315457,Metagenome
SAMEA7723738,1880,278021,147.8835106,Gp0619686,Gb0315457,Targeted Gene Survey
SAMEA7727180,1958,291087,148.665475,Gp0452728,Gb0240102,Metagenome
SAMEA7723903,1982,293245,147.9540868,Gp0619170,Gb0240120,Targeted Gene Survey
SAMEA7723903,1982,293245,147.9540868,Gp0452746,Gb0240120,Metagenome
SAMEA7724218,2112,314056,148.7007576,Gp0619235,Gb0240096,Targeted Gene Survey
SAMEA7724218,2112,314056,148.7007576,Gp0452722,Gb0240096,Metagenome
SAMEA7724238,2144,317877,148.2635261,Gp0452595,Gb0239969,Metagenome
SAMEA7724238,2144,317877,148.2635261,Gp0619250,Gb0239969,Targeted Gene Survey
SAMEA7727180,2298,341909,148.7854656,Gp0452728,Gb0240102,Metagenome
SAMEA7724238,2418,358578,148.2952854,Gp0452595,Gb0239969,Metagenome
SAMEA7724238,2418,358578,148.2952854,Gp0619250,Gb0239969,Targeted Gene Survey
SAMEA7723739,2432,361509,148.6467928,Gp0619687,Gb0315458,Targeted Gene Survey
SAMEA7723739,2432,361509,148.6467928,Gp0618552,Gb0315458,Metagenome
SAMEA7723736,2500,371032,148.4128,Gp0619684,Gb0315455,Targeted Gene Survey
SAMEA7723736,2500,371032,148.4128,Gp0618549,Gb0315455,Metagenome
SAMEA7724271,2516,374026,148.6589825,Gp0619283,Gb0240003,Targeted Gene Survey
SAMEA7724271,2516,374026,148.6589825,Gp0452629,Gb0240003,Metagenome
SAMEA7723736,2580,382362,148.2023256,Gp0619684,Gb0315455,Targeted Gene Survey
SAMEA7723736,2580,382362,148.2023256,Gp0618549,Gb0315455,Metagenome
SAMEA7723739,2582,383722,148.6142525,Gp0619687,Gb0315458,Targeted Gene Survey
SAMEA7723739,2582,383722,148.6142525,Gp0618552,Gb0315458,Metagenome
SAMEA7724277,2802,416478,148.6359743,Gp0452635,Gb0240009,Metagenome
SAMEA7724277,2802,416478,148.6359743,Gp0619289,Gb0240009,Targeted Gene Survey
SAMEA7723737,3210,477352,148.7077882,Gp0618550,Gb0315456,Metagenome
SAMEA7723737,3210,477352,148.7077882,Gp0619685,Gb0315456,Targeted Gene Survey
SAMEA7723737,3478,517586,148.8171363,Gp0618550,Gb0315456,Metagenome
SAMEA7723737,3478,517586,148.8171363,Gp0619685,Gb0315456,Targeted Gene Survey
SAMEA7724287,3618,537032,148.4333886,Gp0452578,Gb0239952,Metagenome
SAMEA7724287,3618,537032,148.4333886,Gp0619299,Gb0239952,Targeted Gene Survey
SAMEA7724287,3996,594395,148.7474975,Gp0452578,Gb0239952,Metagenome
SAMEA7724287,3996,594395,148.7474975,Gp0619299,Gb0239952,Targeted Gene Survey
SAMEA7724327,4214,626154,148.5889891,Gp0620060,Gb0315663,Targeted Gene Survey
SAMEA7724327,4214,626154,148.5889891,Gp0618757,Gb0315663,Metagenome
SAMEA7724247,4222,626556,148.4026528,Gp0452604,Gb0239978,Metagenome
SAMEA7724247,4222,626556,148.4026528,Gp0619259,Gb0239978,Targeted Gene Survey
SAMEA7724272,4288,637120,148.5820896,Gp0619284,Gb0240004,Targeted Gene Survey
SAMEA7724272,4288,637120,148.5820896,Gp0452630,Gb0240004,Metagenome
SAMEA7724247,4686,695772,148.4788732,Gp0452604,Gb0239978,Metagenome
SAMEA7724247,4686,695772,148.4788732,Gp0619259,Gb0239978,Targeted Gene Survey
SAMEA7723724,5132,753249,146.7749415,Gp0619672,Gb0315836,Targeted Gene Survey
SAMEA7723724,5132,753249,146.7749415,Gp0618930,Gb0315836,Metagenome
SAMEA7723724,5444,798144,146.6098457,Gp0619672,Gb0315836,Targeted Gene Survey
SAMEA7723724,5444,798144,146.6098457,Gp0618930,Gb0315836,Metagenome
SAMEA7723429,5954,880183,147.8305341,Gp0619148,Gb0240113,Targeted Gene Survey
SAMEA7723429,5954,880183,147.8305341,Gp0452739,Gb0240113,Metagenome
SAMEA7723547,6406,953554,148.8532626,Gp0618545,Gb0315451,Metagenome
SAMEA7723547,6406,953554,148.8532626,Gp0619498,Gb0315451,Targeted Gene Survey
SAMEA7724405,6540,970376,148.3755352,Gp0619354,Gb0240108,Targeted Gene Survey
SAMEA7724405,6540,970376,148.3755352,Gp0452734,Gb0240108,Metagenome
SAMEA7724230,6634,981168,147.8999096,Gp0618778,Gb0315684,Metagenome
SAMEA7724230,6634,981168,147.8999096,Gp0620051,Gb0315684,Targeted Gene Survey
SAMEA7723429,6678,987931,147.9381551,Gp0619148,Gb0240113,Targeted Gene Survey
SAMEA7723429,6678,987931,147.9381551,Gp0452739,Gb0240113,Metagenome
SAMEA7723547,6732,1002335,148.8911171,Gp0618545,Gb0315451,Metagenome
SAMEA7723547,6732,1002335,148.8911171,Gp0619498,Gb0315451,Targeted Gene Survey
SAMEA7724323,6840,1016727,148.6442982,Gp0618753,Gb0315659,Metagenome
SAMEA7724323,6840,1016727,148.6442982,Gp0620056,Gb0315659,Targeted Gene Survey
SAMEA7724405,6870,1019580,148.4104803,Gp0619354,Gb0240108,Targeted Gene Survey
SAMEA7724405,6870,1019580,148.4104803,Gp0452734,Gb0240108,Metagenome
SAMEA7724254,7264,1079256,148.5759912,Gp0619266,Gb0239986,Targeted Gene Survey
SAMEA7724254,7264,1079256,148.5759912,Gp0452612,Gb0239986,Metagenome
SAMEA7724235,7328,1089643,148.6958242,Gp0452592,Gb0239966,Metagenome
SAMEA7724235,7328,1089643,148.6958242,Gp0619247,Gb0239966,Targeted Gene Survey
SAMEA7724323,7338,1091184,148.7031889,Gp0618753,Gb0315659,Metagenome
SAMEA7724323,7338,1091184,148.7031889,Gp0620056,Gb0315659,Targeted Gene Survey
SAMEA7724230,7534,1114507,147.9303159,Gp0618778,Gb0315684,Metagenome
SAMEA7724230,7534,1114507,147.9303159,Gp0620051,Gb0315684,Targeted Gene Survey
SAMEA7723493,7602,1130297,148.6841621,Gp0577896,Gb0297347,Metagenome
SAMEA7723493,7602,1130297,148.6841621,Gp0619444,Gb0297347,Targeted Gene Survey
SAMEA7724254,7814,1160015,148.4534169,Gp0619266,Gb0239986,Targeted Gene Survey
SAMEA7724254,7814,1160015,148.4534169,Gp0452612,Gb0239986,Metagenome
SAMEA7724235,7930,1179961,148.7970996,Gp0452592,Gb0239966,Metagenome
SAMEA7724235,7930,1179961,148.7970996,Gp0619247,Gb0239966,Targeted Gene Survey
SAMEA7723493,7956,1183259,148.7253645,Gp0577896,Gb0297347,Metagenome
SAMEA7723493,7956,1183259,148.7253645,Gp0619444,Gb0297347,Targeted Gene Survey
SAMEA7724262,8444,1256213,148.7698958,Gp0452620,Gb0239994,Metagenome
SAMEA7724262,8444,1256213,148.7698958,Gp0619274,Gb0239994,Targeted Gene Survey
SAMEA7723626,8536,1269382,148.7092315,Gp0619001,Gb0315907,Metagenome
SAMEA7723626,8536,1269382,148.7092315,Gp0619574,Gb0315907,Targeted Gene Survey
SAMEA7723409,8772,1305096,148.7797538,Gp0619378,Gb0316049,Targeted Gene Survey
SAMEA7723409,8772,1305096,148.7797538,Gp0619143,Gb0316049,Metagenome
SAMEA7723409,8796,1307276,148.6216462,Gp0619378,Gb0316049,Targeted Gene Survey
SAMEA7723409,8796,1307276,148.6216462,Gp0619143,Gb0316049,Metagenome
SAMEA7723626,8834,1313698,148.709305,Gp0619001,Gb0315907,Metagenome
SAMEA7723626,8834,1313698,148.709305,Gp0619574,Gb0315907,Targeted Gene Survey
SAMEA7724262,9086,1351168,148.7087827,Gp0452620,Gb0239994,Metagenome
SAMEA7724262,9086,1351168,148.7087827,Gp0619274,Gb0239994,Targeted Gene Survey
SAMEA7724267,9170,1360476,148.361614,Gp0452625,Gb0239999,Metagenome
SAMEA7724267,9170,1360476,148.361614,Gp0619279,Gb0239999,Targeted Gene Survey
SAMEA7724236,10134,1504555,148.4660549,Gp0619248,Gb0239967,Targeted Gene Survey
SAMEA7724236,10134,1504555,148.4660549,Gp0452593,Gb0239967,Metagenome
SAMEA7723722,10144,1507320,148.5922713,Gp0618928,Gb0315834,Metagenome
SAMEA7723722,10144,1507320,148.5922713,Gp0619670,Gb0315834,Targeted Gene Survey
SAMEA7723722,10408,1547784,148.7109915,Gp0618928,Gb0315834,Metagenome
SAMEA7723722,10408,1547784,148.7109915,Gp0619670,Gb0315834,Targeted Gene Survey
SAMEA7724236,11108,1650980,148.6298163,Gp0619248,Gb0239967,Targeted Gene Survey
SAMEA7724236,11108,1650980,148.6298163,Gp0452593,Gb0239967,Metagenome
SAMEA7724324,12194,1811463,148.5536329,Gp0620057,Gb0315660,Targeted Gene Survey
SAMEA7724324,12194,1811463,148.5536329,Gp0618754,Gb0315660,Metagenome
SAMEA7724328,12456,1851707,148.6598426,Gp0620061,Gb0315664,Targeted Gene Survey
SAMEA7724328,12456,1851707,148.6598426,Gp0618758,Gb0315664,Metagenome
SAMEA7724113,13014,1934143,148.6201783,Gp0619196,Gb0239959,Targeted Gene Survey
SAMEA7724113,13014,1934143,148.6201783,Gp0452585,Gb0239959,Metagenome
SAMEA7723545,13122,1867994,142.3558909,Gp0619496,Gb0315449,Targeted Gene Survey
SAMEA7723545,13122,1867994,142.3558909,Gp0618543,Gb0315449,Metagenome
SAMEA7724275,13144,1952181,148.5225959,Gp0452633,Gb0240007,Metagenome
SAMEA7724275,13144,1952181,148.5225959,Gp0619287,Gb0240007,Targeted Gene Survey
SAMEA7724328,13254,1970572,148.6775313,Gp0620061,Gb0315664,Targeted Gene Survey
SAMEA7724328,13254,1970572,148.6775313,Gp0618758,Gb0315664,Metagenome
SAMEA7724324,13288,1974243,148.5733745,Gp0620057,Gb0315660,Targeted Gene Survey
SAMEA7724324,13288,1974243,148.5733745,Gp0618754,Gb0315660,Metagenome
SAMEA7723545,13580,1922730,141.5854197,Gp0619496,Gb0315449,Targeted Gene Survey
SAMEA7723545,13580,1922730,141.5854197,Gp0618543,Gb0315449,Metagenome
SAMEA7724124,13748,2038417,148.2700756,Gp0452572,Gb0239946,Metagenome
SAMEA7724124,13748,2038417,148.2700756,Gp0619207,Gb0239946,Targeted Gene Survey
SAMEA7724113,14086,2094173,148.6705239,Gp0619196,Gb0239959,Targeted Gene Survey
SAMEA7724113,14086,2094173,148.6705239,Gp0452585,Gb0239959,Metagenome
SAMEA7724335,14418,2142853,148.6234568,Gp0619337,Gb0240039,Targeted Gene Survey
SAMEA7724335,14418,2142853,148.6234568,Gp0452665,Gb0240039,Metagenome
SAMEA7724250,14432,2143805,148.5452467,Gp0619262,Gb0239982,Targeted Gene Survey
SAMEA7724250,14432,2143805,148.5452467,Gp0452608,Gb0239982,Metagenome
SAMEA7723892,14826,2196984,148.1845407,Gp0619051,Gb0315957,Metagenome
SAMEA7723892,14826,2196984,148.1845407,Gp0619792,Gb0315957,Targeted Gene Survey
SAMEA7724124,15126,2244714,148.4010313,Gp0452572,Gb0239946,Metagenome
SAMEA7724124,15126,2244714,148.4010313,Gp0619207,Gb0239946,Targeted Gene Survey
SAMEA7724407,15130,2247276,148.5311302,Gp0619356,Gb0239981,Targeted Gene Survey
SAMEA7724407,15130,2247276,148.5311302,Gp0452607,Gb0239981,Metagenome
SAMEA7723961,15384,2288884,148.7834113,Gp0578366,Gb0297421,Metagenome
SAMEA7723961,15384,2288884,148.7834113,Gp0619843,Gb0297421,Targeted Gene Survey
SAMEA7723892,15420,2284586,148.1573281,Gp0619051,Gb0315957,Metagenome
SAMEA7723892,15420,2284586,148.1573281,Gp0619792,Gb0315957,Targeted Gene Survey
SAMEA7723626,15614,2322084,148.7180735,Gp0619001,Gb0315907,Metagenome
SAMEA7723626,15614,2322084,148.7180735,Gp0619574,Gb0315907,Targeted Gene Survey
SAMEA7723961,15808,2329667,147.3726594,Gp0578366,Gb0297421,Metagenome
SAMEA7723961,15808,2329667,147.3726594,Gp0619843,Gb0297421,Targeted Gene Survey
SAMEA7724250,16092,2390659,148.5619563,Gp0619262,Gb0239982,Targeted Gene Survey
SAMEA7724250,16092,2390659,148.5619563,Gp0452608,Gb0239982,Metagenome
SAMEA7723961,16592,2442315,147.1983486,Gp0578366,Gb0297421,Metagenome
SAMEA7723961,16592,2442315,147.1983486,Gp0619843,Gb0297421,Targeted Gene Survey
SAMEA7723961,16650,2478711,148.8715315,Gp0578366,Gb0297421,Metagenome
SAMEA7723961,16650,2478711,148.8715315,Gp0619843,Gb0297421,Targeted Gene Survey
SAMEA7724002,16826,2494417,148.2477713,Gp0578379,Gb0297434,Metagenome
SAMEA7724002,16826,2494417,148.2477713,Gp0619884,Gb0297434,Targeted Gene Survey
SAMEA7724407,16884,2509105,148.6084459,Gp0619356,Gb0239981,Targeted Gene Survey
SAMEA7724407,16884,2509105,148.6084459,Gp0452607,Gb0239981,Metagenome
SAMEA7724002,17196,2551855,148.398174,Gp0578379,Gb0297434,Metagenome
SAMEA7724002,17196,2551855,148.398174,Gp0619884,Gb0297434,Targeted Gene Survey
SAMEA7723489,19288,2868467,148.7177001,Gp0577862,Gb0297343,Metagenome
SAMEA7723489,19288,2868467,148.7177001,Gp0619440,Gb0297343,Targeted Gene Survey
SAMEA7723489,20138,2997495,148.8477009,Gp0577862,Gb0297343,Metagenome
SAMEA7723489,20138,2997495,148.8477009,Gp0619440,Gb0297343,Targeted Gene Survey
SAMEA7724122,23110,3429180,148.3851147,Gp0452570,Gb0239944,Metagenome
SAMEA7724122,23110,3429180,148.3851147,Gp0619205,Gb0239944,Targeted Gene Survey
SAMEA7723546,23938,3564140,148.890467,Gp0619497,Gb0315450,Targeted Gene Survey
SAMEA7723546,23938,3564140,148.890467,Gp0618544,Gb0315450,Metagenome
SAMEA7724122,26054,3868187,148.4680663,Gp0452570,Gb0239944,Metagenome
SAMEA7724122,26054,3868187,148.4680663,Gp0619205,Gb0239944,Targeted Gene Survey
SAMEA7724311,26860,3991302,148.5965004,Gp0619323,Gb0240025,Targeted Gene Survey
SAMEA7724311,26860,3991302,148.5965004,Gp0452651,Gb0240025,Metagenome
SAMEA7724245,28130,4179240,148.5687878,Gp0452602,Gb0239976,Metagenome
SAMEA7724245,28130,4179240,148.5687878,Gp0619257,Gb0239976,Targeted Gene Survey
SAMEA7724311,28278,4204694,148.6913502,Gp0619323,Gb0240025,Targeted Gene Survey
SAMEA7724311,28278,4204694,148.6913502,Gp0452651,Gb0240025,Metagenome
SAMEA7724330,29662,4406217,148.5475356,Gp0620063,Gb0315666,Targeted Gene Survey
SAMEA7724330,29662,4406217,148.5475356,Gp0618760,Gb0315666,Metagenome
SAMEA7724126,35592,5282701,148.4238312,Gp0619209,Gb0239948,Targeted Gene Survey
SAMEA7724126,35592,5282701,148.4238312,Gp0452574,Gb0239948,Metagenome
SAMEA7723740,36384,5411147,148.7232575,Gp0618787,Gb0315693,Metagenome
SAMEA7723740,36384,5411147,148.7232575,Gp0619688,Gb0315693,Targeted Gene Survey
SAMEA7723684,38480,5713620,148.4828482,Gp0619047,Gb0315953,Metagenome
SAMEA7723684,38480,5713620,148.4828482,Gp0619632,Gb0315953,Targeted Gene Survey
SAMEA7724219,39590,5878327,148.480096,Gp0619236,Gb0240098,Targeted Gene Survey
SAMEA7724219,39590,5878327,148.480096,Gp0452724,Gb0240098,Metagenome
SAMEA7723867,41744,6202794,148.5912706,Gp0619767,Gb0315736,Targeted Gene Survey
SAMEA7723867,41744,6202794,148.5912706,Gp0618830,Gb0315736,Metagenome
SAMEA7724219,43882,6518626,148.5489722,Gp0619236,Gb0240098,Targeted Gene Survey
SAMEA7724219,43882,6518626,148.5489722,Gp0452724,Gb0240098,Metagenome
SAMEA7723975,44718,6634471,148.3624268,Gp0619054,Gb0315960,Metagenome
SAMEA7723975,44718,6634471,148.3624268,Gp0619857,Gb0315960,Targeted Gene Survey
SAMEA7723486,45102,6700297,148.5587557,Gp0619437,Gb0297340,Targeted Gene Survey
SAMEA7723486,45102,6700297,148.5587557,Gp0577840,Gb0297340,Metagenome
SAMEA7723549,46052,6846983,148.6793842,Gp0618547,Gb0315453,Metagenome
SAMEA7723549,46052,6846983,148.6793842,Gp0619500,Gb0315453,Targeted Gene Survey
SAMEA7723975,46864,6955876,148.4268522,Gp0619054,Gb0315960,Metagenome
SAMEA7723975,46864,6955876,148.4268522,Gp0619857,Gb0315960,Targeted Gene Survey
SAMEA7723493,47336,7065181,149.2559785,Gp0577896,Gb0297347,Metagenome
SAMEA7723493,47336,7065181,149.2559785,Gp0619444,Gb0297347,Targeted Gene Survey
SAMEA7723493,47632,7107499,149.216892,Gp0577896,Gb0297347,Metagenome
SAMEA7723493,47632,7107499,149.216892,Gp0619444,Gb0297347,Targeted Gene Survey
SAMEA7724259,47822,7092204,148.3042115,Gp0452617,Gb0239991,Metagenome
SAMEA7724259,47822,7092204,148.3042115,Gp0619271,Gb0239991,Targeted Gene Survey
SAMEA7724341,49566,7368034,148.6509704,Gp0619343,Gb0240045,Targeted Gene Survey
SAMEA7724341,49566,7368034,148.6509704,Gp0452671,Gb0240045,Metagenome
SAMEA7724044,52558,7806112,148.5237642,Gp0618556,Gb0315462,Metagenome
SAMEA7724044,52558,7806112,148.5237642,Gp0619926,Gb0315462,Targeted Gene Survey
SAMEA7724341,53154,7901940,148.6612484,Gp0619343,Gb0240045,Targeted Gene Survey
SAMEA7724341,53154,7901940,148.6612484,Gp0452671,Gb0240045,Metagenome
SAMEA7724044,54690,8126882,148.5990492,Gp0618556,Gb0315462,Metagenome
SAMEA7724044,54690,8126882,148.5990492,Gp0619926,Gb0315462,Targeted Gene Survey
SAMEA7724259,55098,8176724,148.4032814,Gp0452617,Gb0239991,Metagenome
SAMEA7724259,55098,8176724,148.4032814,Gp0619271,Gb0239991,Targeted Gene Survey
SAMEA7723494,55324,8230627,148.771365,Gp0619445,Gb0297348,Targeted Gene Survey
SAMEA7723494,55324,8230627,148.771365,Gp0577904,Gb0297348,Metagenome
SAMEA7723494,58352,8686401,148.8620956,Gp0619445,Gb0297348,Targeted Gene Survey
SAMEA7723494,58352,8686401,148.8620956,Gp0577904,Gb0297348,Metagenome
SAMEA7723651,61916,9202071,148.6218586,Gp0619599,Gb0315932,Targeted Gene Survey
SAMEA7723651,61916,9202071,148.6218586,Gp0619026,Gb0315932,Metagenome
SAMEA7724148,62492,9295923,148.7538085,Gp0619089,Gb0315995,Metagenome
SAMEA7724148,62492,9295923,148.7538085,Gp0620003,Gb0315995,Targeted Gene Survey
SAMEA7723657,63196,9397897,148.7103139,Gp0619032,Gb0315938,Metagenome
SAMEA7723657,63196,9397897,148.7103139,Gp0619605,Gb0315938,Targeted Gene Survey
SAMEA7723433,63944,9491740,148.438321,Gp0619152,Gb0240124,Targeted Gene Survey
SAMEA7723433,63944,9491740,148.438321,Gp0452750,Gb0240124,Metagenome
SAMEA7723651,64690,9616888,148.6611223,Gp0619599,Gb0315932,Targeted Gene Survey
SAMEA7723651,64690,9616888,148.6611223,Gp0619026,Gb0315932,Metagenome
SAMEA7724148,65450,9739077,148.8017876,Gp0619089,Gb0315995,Metagenome
