id	name	description	env_broad_scale	env_local_scale	env_medium	type	collection_date	depth	geo_loc_name	lat_lon	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	add_date	community	depth2	habitat	identifier	location	mod_date	ncbi_taxonomy_name	sample_collection_site	part_of	alternative_identifiers	GOLD_sample_identifiers	INSDC_biosample_identifiers	host_name	nitrate	salinity	temp	subsurface_depth	env_package
gold:Gb0150230	Metatranscriptome of peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin10_30_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-28'}	{'has_raw_value': '0.3', 'has_numeric_value': 0.3, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.4', 'has_numeric_value': 0.4, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin10_30_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 30-40cm depth	gold:Gs0110138									
gold:Gb0150231	peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin11_10_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-28'}	{'has_raw_value': '0.1', 'has_numeric_value': 0.1, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.2', 'has_numeric_value': 0.2, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin11_10_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 10-20cm depth	gold:Gs0110138									
gold:Gb0150232	Metatranscriptome of peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin11_30_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-28'}	{'has_raw_value': '0.3', 'has_numeric_value': 0.3, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.4', 'has_numeric_value': 0.4, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin11_30_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 30-40cm depth	gold:Gs0110138									
gold:Gb0150233	peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin17_10_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-28'}	{'has_raw_value': '0.1', 'has_numeric_value': 0.1, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.2', 'has_numeric_value': 0.2, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin17_10_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 10-20cm depth	gold:Gs0110138									
gold:Gb0150234	Metatranscriptome of peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin17_30_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-28'}	{'has_raw_value': '0.3', 'has_numeric_value': 0.3, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.4', 'has_numeric_value': 0.4, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin17_30_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 30-40cm depth	gold:Gs0110138									
gold:Gb0150235	peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin23_10_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-28'}	{'has_raw_value': '0.1', 'has_numeric_value': 0.1, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.2', 'has_numeric_value': 0.2, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin23_10_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 10-20cm depth	gold:Gs0110138									
gold:Gb0150236	Metatranscriptome of peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin23_30_metaT	Peatland microbial communities from PEATcosm Experiment in MTU Mesocosm Facility, Houghton	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000044'}	{'has_raw_value': 'ENVO:00005774'}	nmdc:Biosample	{'has_raw_value': '2014-07-28'}	{'has_raw_value': '0.3', 'has_numeric_value': 0.3, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Michigan'}	{'has_raw_value': '47.1149 -88.5476', 'latitude': 47.1149, 'longitude': -88.5476}	Environmental	Terrestrial	Soil	Peat	Bog	2017-03-10	microbial communities	{'has_raw_value': '0.4', 'has_numeric_value': 0.4, 'has_unit': 'meter'}	Bog	PEATcosm2014_Bin23_30_metaT	MTU Mesocosm Facility, Houghton	2021-06-16	wetland metagenome	Peat 30-40cm depth	gold:Gs0110138									
gold:Gb0150262	Lab enriched deep subsurface shale carbon reservoir viral communities from Ohio, USA - WG14 viral induction ssDNA	Deep subsurface shale carbon reservoirviral communities from fracking fluids in Ohio, USA	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:01000941'}	{'has_raw_value': 'ENVO:00002194'}	nmdc:Biosample	{'has_raw_value': '2014-10-20'}	{'has_raw_value': '2000.0', 'has_numeric_value': 2000.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Ohio'}	{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073}	Environmental	Terrestrial	Deep subsurface	Shale gas reservoir	Flow back/Produced fluids	2017-03-10	viral communities		Deep subsurface	WG14 viral induction ssDNA	Appalachian Basin, Ohio, USA	2021-06-17	subsurface metagenome	Deep subsurface	gold:Gs0114675					{'has_raw_value': 'below detection', 'has_unit': 'detection'}	{'has_raw_value': '15%'}	{'has_raw_value': '40.0', 'has_unit': 'Celsius', 'has_numeric_value': 40.0}		
gold:Gb0150425	Lab enrichment of tropical soil microbial communities from Luquillo Experimental Forest, Puerto Rico - flux4day.12C.oxic.44.000.170	Lab enrichment of tropical soil microbial communities from Luquillo Experimental Forest, 44 days of incubation with ryegrass amendment (10% of native soil C), fluctuating 4 days anoxic (N2 gas) and 4 days oxic (21% O2) regime	{'has_raw_value': 'ENVO:01000174'}	{'has_raw_value': 'ENVO:01001803'}	{'has_raw_value': 'ENVO:00005778'}	nmdc:Biosample	{'has_raw_value': '2016-01-26'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'Puerto Rico: Rio Grande'}	{'has_raw_value': '18.321 -65.8172', 'latitude': 18.321, 'longitude': -65.8172}	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	2017-03-17	microbial communities		Soil	flux4day.12C.oxic.44.000.170	El Verde, Luquillo Experimental Forest	2021-06-16	soil metagenome	Lab microcosm	gold:Gs0128850									
gold:Gb0195883	Tropical soil microbial communities from Luquillo Experimental Forest, Puerto Rico - GRE.SIPMG.166b4f24	Tropical soil microbial communities from Luquillo Experimental Forest, Puerto Rico. Metagenome - Stable Isotope Probing	{'has_raw_value': 'ENVO:01000174'}	{'has_raw_value': 'ENVO:01001803'}	{'has_raw_value': 'ENVO:00005778'}	nmdc:Biosample	{'has_raw_value': '2016-01-26'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'Puerto Rico: Rio Grande'}	{'has_raw_value': '18.321 -65.8172', 'latitude': 18.321, 'longitude': -65.8172}	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	2018-10-26	microbial communities		soil	GRE.SIPMG.166b4f24	El Verde, Luquillo Experimental Forest, Puerto Rico	2021-06-16	soil metagenome	forest soil	gold:Gs0128850									
gold:Gb0291582	Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL1_35_33	Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000011'}	{'has_raw_value': 'ENVO:00005802'}	nmdc:Biosample	{'has_raw_value': '2020-09-09'}		{'has_raw_value': 'USA: Oregon'}	{'has_raw_value': '46.1208 -123.2695', 'latitude': 46.1208, 'longitude': -123.2695}	Environmental	Terrestrial	Soil	Botanical garden	Bulk soil	2021-04-30	microbial communities		Soil	BESC-13-CL1_35_33	poplar common garden site in Clatskanie, Oregon, USA	2021-06-16	soil metagenome	Bulk Soil	gold:Gs0154044	img.taxon:3300046656								
gold:Gb0291583	Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL2_39_29	Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000011'}	{'has_raw_value': 'ENVO:00005802'}	nmdc:Biosample	{'has_raw_value': '2020-09-09'}		{'has_raw_value': 'USA: Oregon'}	{'has_raw_value': '46.1209 -123.2697', 'latitude': 46.1209, 'longitude': -123.2697}	Environmental	Terrestrial	Soil	Botanical garden	Bulk soil	2021-04-30	microbial communities		Soil	BESC-13-CL2_39_29	poplar common garden site in Clatskanie, Oregon, USA	2021-06-16	soil metagenome	Bulk Soil	gold:Gs0154044	img.taxon:3300046713								
gold:Gb0291584	Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL3_85_26	Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000011'}	{'has_raw_value': 'ENVO:00005802'}	nmdc:Biosample	{'has_raw_value': '2020-09-09'}		{'has_raw_value': 'USA: Oregon'}	{'has_raw_value': '46.1209 -123.2715', 'latitude': 46.1209, 'longitude': -123.2715}	Environmental	Terrestrial	Soil	Botanical garden	Bulk soil	2021-04-30	microbial communities		Soil	BESC-13-CL3_85_26	poplar common garden site in Clatskanie, Oregon, USA	2021-06-16	soil metagenome	Bulk Soil	gold:Gs0154044	img.taxon:3300046707								
gold:Gb0291585	Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co1_30_3	Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000011'}	{'has_raw_value': 'ENVO:00005802'}	nmdc:Biosample	{'has_raw_value': '2020-09-04'}		{'has_raw_value': 'USA: Oregon'}	{'has_raw_value': '44.5879 -123.194', 'latitude': 44.5879, 'longitude': -123.194}	Environmental	Terrestrial	Soil	Botanical garden	Bulk soil	2021-04-30	microbial communities		Soil	BESC-13-Co1_30_3	poplar common garden site in Corvallis, Oregon, USA	2021-06-16	soil metagenome	Bulk Soil	gold:Gs0154044	img.taxon:3300048622								
gold:Gb0291586	Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co2_41_23	Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000011'}	{'has_raw_value': 'ENVO:00005802'}	nmdc:Biosample	{'has_raw_value': '2020-09-04'}		{'has_raw_value': 'USA: Oregon'}	{'has_raw_value': '44.5878 -123.1934', 'latitude': 44.5878, 'longitude': -123.1934}	Environmental	Terrestrial	Soil	Botanical garden	Bulk soil	2021-04-30	microbial communities		Soil	BESC-13-Co2_41_23	poplar common garden site in Corvallis, Oregon, USA	2021-06-16	soil metagenome	Bulk Soil	gold:Gs0154044	img.taxon:3300048687								
gold:Gb0291587	Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co3_21_57	Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000011'}	{'has_raw_value': 'ENVO:00005802'}	nmdc:Biosample	{'has_raw_value': '2020-09-04'}		{'has_raw_value': 'USA: Oregon'}	{'has_raw_value': '44.588 -123.1924', 'latitude': 44.588, 'longitude': -123.1924}	Environmental	Terrestrial	Soil	Botanical garden	Bulk soil	2021-04-30	microbial communities		Soil	BESC-13-Co3_21_57	poplar common garden site in Corvallis, Oregon, USA	2021-06-16	soil metagenome	Bulk Soil	gold:Gs0154044	img.taxon:3300046708								
gold:Gb0291588	Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL1_28_16	Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000011'}	{'has_raw_value': 'ENVO:00005802'}	nmdc:Biosample	{'has_raw_value': '2020-09-09'}		{'has_raw_value': 'USA: Oregon'}	{'has_raw_value': '46.1213 -123.2692', 'latitude': 46.1213, 'longitude': -123.2692}	Environmental	Terrestrial	Soil	Botanical garden	Bulk soil	2021-04-30	microbial communities		Soil	BESC-133-CL1_28_16	poplar common garden site in Clatskanie, Oregon, USA	2021-06-16	soil metagenome	Bulk Soil	gold:Gs0154044	img.taxon:3300046780								
gold:Gb0291589	Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL2_62_7	Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000011'}	{'has_raw_value': 'ENVO:00005802'}	nmdc:Biosample	{'has_raw_value': '2020-09-09'}		{'has_raw_value': 'USA: Oregon'}	{'has_raw_value': '46.1215 -123.2705', 'latitude': 46.1215, 'longitude': -123.2705}	Environmental	Terrestrial	Soil	Botanical garden	Bulk soil	2021-04-30	microbial communities		Soil	BESC-133-CL2_62_7	poplar common garden site in Clatskanie, Oregon, USA	2021-06-16	soil metagenome	Bulk Soil	gold:Gs0154044	img.taxon:3300046817								
gold:Gb0291590	Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL3_93_10	Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000011'}	{'has_raw_value': 'ENVO:00005802'}	nmdc:Biosample	{'has_raw_value': '2020-09-09'}		{'has_raw_value': 'USA: Oregon'}	{'has_raw_value': '46.1214 -123.2718', 'latitude': 46.1214, 'longitude': -123.2718}	Environmental	Terrestrial	Soil	Botanical garden	Bulk soil	2021-04-30	microbial communities		Soil	BESC-133-CL3_93_10	poplar common garden site in Clatskanie, Oregon, USA	2021-06-16	soil metagenome	Bulk Soil	gold:Gs0154044	img.taxon:3300046781								
gold:Gb0291591	Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co1_27_3	Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000011'}	{'has_raw_value': 'ENVO:00005802'}	nmdc:Biosample	{'has_raw_value': '2020-09-04'}		{'has_raw_value': 'USA: Oregon'}	{'has_raw_value': '44.588 -123.194', 'latitude': 44.588, 'longitude': -123.194}	Environmental	Terrestrial	Soil	Botanical garden	Bulk soil	2021-04-30	microbial communities		Soil	BESC-133-Co1_27_3	poplar common garden site in Corvallis, Oregon, USA	2021-06-16	soil metagenome	Bulk Soil	gold:Gs0154044	img.taxon:3300046834								
gold:Gb0291592	Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co2_50_25	Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000011'}	{'has_raw_value': 'ENVO:00005802'}	nmdc:Biosample	{'has_raw_value': '2020-09-04'}		{'has_raw_value': 'USA: Oregon'}	{'has_raw_value': '44.5876 -123.1933', 'latitude': 44.5876, 'longitude': -123.1933}	Environmental	Terrestrial	Soil	Botanical garden	Bulk soil	2021-04-30	microbial communities		Soil	BESC-133-Co2_50_25	poplar common garden site in Corvallis, Oregon, USA	2021-06-16	soil metagenome	Bulk Soil	gold:Gs0154044	img.taxon:3300046657								
