id_x	name	description	env_broad_scale	env_local_scale	env_medium	type	collection_date	depth	geo_loc_name	lat_lon	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	add_date	community	depth2	habitat	identifier	location	mod_date	ncbi_taxonomy_name	sample_collection_site	part_of	alternative_identifiers	GOLD_sample_identifiers	INSDC_biosample_identifiers	host_name	nitrate	salinity	temp	subsurface_depth	env_package	id_y
gold:Gb0115228	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_21-May-14	Sterilized sand packs were incubated back in the ground and collected at time point T4.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-05-21'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T4_21-May-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042751	gold:Gb0115228	BIOSAMPLE:SAMN06343874							BIOSAMPLE:SAMN06343874
gold:Gb0115229	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA- GW-RW T4_22-July-14	Sterilized sand packs were incubated back in the ground and collected at time point T4.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-07-22'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T4_22-July-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042752	gold:Gb0115229	BIOSAMPLE:SAMN06343875							BIOSAMPLE:SAMN06343875
gold:Gb0115230	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_23-Sept-14	Sterilized sand packs were incubated back in the ground and collected at time point T4.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-09-23'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T4_23-Sept-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042753	gold:Gb0115230	BIOSAMPLE:SAMN06343876							BIOSAMPLE:SAMN06343876
gold:Gb0115231	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_25-Nov-14	Sterilized sand packs were incubated back in the ground and collected at time point T4.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-11-25'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T4_25-Nov-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042754	gold:Gb0115231	BIOSAMPLE:SAMN06343877							BIOSAMPLE:SAMN06343877
gold:Gb0115232	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_30-Apr-14	Sterilized sand packs were incubated back in the ground and collected at time point T4.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-04-30'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T4_30-Apr-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042755	gold:Gb0115232	BIOSAMPLE:SAMN06343878							BIOSAMPLE:SAMN06343878
gold:Gb0115233	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_4-Nov-14	Sterilized sand packs were incubated back in the ground and collected at time point T4.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-11-04'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T4_4-Nov-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042756	gold:Gb0115233	BIOSAMPLE:SAMN06343879							BIOSAMPLE:SAMN06343879
gold:Gb0115838	Populus endosphere microbial communities from Tennessee, USA - Endosphere MetaG P. deltoides DD176-1		{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'PO:0025025'}	{'has_raw_value': 'PO:0009007'}	nmdc:Biosample	{'has_raw_value': '2014-08-14'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Tennessee'}	{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607}	Host-associated	Plants	Roots	Endosphere	Unclassified	2015-06-23	microbial community		Populus endosphere	Endosphere MetaG P. deltoides DD176-1	Populus endosphere	2021-06-12	root metagenome	Populus endosphere	gold:Gs0103573	img.taxon:3300006022		BIOSAMPLE:SAMN06267230	Populus						BIOSAMPLE:SAMN06267230
gold:Gb0115839	Populus endosphere microbial communities from Tennessee, USA - Endosphere MetaG P. deltoides DD176-2		{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'PO:0025025'}	{'has_raw_value': 'PO:0009007'}	nmdc:Biosample	{'has_raw_value': '2014-08-14'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Tennessee'}	{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607}	Host-associated	Plants	Roots	Endosphere	Unclassified	2015-06-23	microbial community		Populus endosphere	Endosphere MetaG P. deltoides DD176-2	Populus endosphere	2021-06-12	root metagenome	Populus endosphere	gold:Gs0103573	img.taxon:3300006177		BIOSAMPLE:SAMN06264567	Populus						BIOSAMPLE:SAMN06264567
gold:Gb0115840	Populus endosphere microbial communities from Tennessee, USA - Endosphere MetaG P. deltoides DD176-3		{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'PO:0025025'}	{'has_raw_value': 'PO:0009007'}	nmdc:Biosample	{'has_raw_value': '2014-08-14'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Tennessee'}	{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607}	Host-associated	Plants	Roots	Endosphere	Unclassified	2015-06-23	microbial community		Populus endosphere	Endosphere MetaG P. deltoides DD176-3	Populus endosphere	2021-06-12	root metagenome	Populus endosphere	gold:Gs0103573	img.taxon:3300006048		BIOSAMPLE:SAMN06264538	Populus						BIOSAMPLE:SAMN06264538
gold:Gb0115841	Populus endosphere microbial communities from Tennessee, USA - Endosphere MetaG P. deltoides DD176-4		{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'PO:0025025'}	{'has_raw_value': 'PO:0009007'}	nmdc:Biosample	{'has_raw_value': '2014-08-14'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Tennessee'}	{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607}	Host-associated	Plants	Roots	Endosphere	Unclassified	2015-06-23	microbial community		Populus endosphere	Endosphere MetaG P. deltoides DD176-4	Populus endosphere	2021-06-12	root metagenome	Populus endosphere	gold:Gs0103573	img.taxon:3300006051		BIOSAMPLE:SAMN06266330	Populus						BIOSAMPLE:SAMN06266330
gold:Gb0115842	Populus endosphere microbial communities from Tennessee, USA - Endosphere MetaG P. deltoides DD176-5		{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'PO:0025025'}	{'has_raw_value': 'PO:0009007'}	nmdc:Biosample	{'has_raw_value': '2014-08-14'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Tennessee'}	{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607}	Host-associated	Plants	Roots	Endosphere	Unclassified	2015-06-23	microbial community		Populus endosphere	Endosphere MetaG P. deltoides DD176-5	Populus endosphere	2021-06-12	root metagenome	Populus endosphere	gold:Gs0103573	img.taxon:3300006038		BIOSAMPLE:SAMN06266331	Populus						BIOSAMPLE:SAMN06266331
gold:Gb0115843	Populus endosphere microbial communities from Tennessee, USA - Endosphere MetaG P. TD hybrid TD303-1		{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'PO:0025025'}	{'has_raw_value': 'PO:0009007'}	nmdc:Biosample	{'has_raw_value': '2014-08-14'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Tennessee'}	{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599}	Host-associated	Plants	Roots	Endosphere	Unclassified	2015-06-23	microbial community		Populus endosphere	Endosphere MetaG P. TD hybrid TD303-1	Populus endosphere	2021-06-12	root metagenome	Populus endosphere	gold:Gs0103573	img.taxon:3300006195		BIOSAMPLE:SAMN06343958	Populus						BIOSAMPLE:SAMN06343958
gold:Gb0115844	Populus endosphere microbial communities from Tennessee, USA - Endosphere MetaG P. TD hybrid TD303-2		{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'PO:0025025'}	{'has_raw_value': 'PO:0009007'}	nmdc:Biosample	{'has_raw_value': '2014-08-14'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Tennessee'}	{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599}	Host-associated	Plants	Roots	Endosphere	Unclassified	2015-06-23	microbial community		Populus endosphere	Endosphere MetaG P. TD hybrid TD303-2	Populus endosphere	2021-06-12	root metagenome	Populus endosphere	gold:Gs0103573	img.taxon:3300006178		BIOSAMPLE:SAMN06266332	Populus						BIOSAMPLE:SAMN06266332
gold:Gb0115845	Populus endosphere microbial communities from Tennessee, USA - Endosphere MetaG P. TD hybrid TD303-3		{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'PO:0025025'}	{'has_raw_value': 'PO:0009007'}	nmdc:Biosample	{'has_raw_value': '2014-08-14'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Tennessee'}	{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599}	Host-associated	Plants	Roots	Endosphere	Unclassified	2015-06-23	microbial community		Populus endosphere	Endosphere MetaG P. TD hybrid TD303-3	Populus endosphere	2021-06-12	root metagenome	Populus endosphere	gold:Gs0103573	img.taxon:3300027866		BIOSAMPLE:SAMN06264537	Populus						BIOSAMPLE:SAMN06264537
gold:Gb0115846	Populus endosphere microbial communities from Tennessee, USA - Endosphere MetaG P. TD hybrid TD303-4	Populus endosphere	{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'PO:0025025'}	{'has_raw_value': 'PO:0009007'}	nmdc:Biosample	{'has_raw_value': '2014-08-14'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Tennessee'}	{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599}	Host-associated	Plants	Roots	Endosphere	Unclassified	2015-06-23	microbial community		Populus endosphere	Endosphere MetaG P. TD hybrid TD303-4	Populus endosphere	2021-06-12	root metagenome	Populus endosphere	gold:Gs0103573	img.taxon:3300006186		BIOSAMPLE:SAMN06266333	Populus						BIOSAMPLE:SAMN06266333
gold:Gb0115847	Populus endosphere microbial communities from Tennessee, USA - Endosphere MetaG P. TD hybrid TD303-5		{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'PO:0025025'}	{'has_raw_value': 'PO:0009007'}	nmdc:Biosample	{'has_raw_value': '2014-08-14'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Tennessee'}	{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599}	Host-associated	Plants	Roots	Endosphere	Unclassified	2015-06-23	microbial community		Populus endosphere	Endosphere MetaG P. TD hybrid TD303-5	Populus endosphere	2021-06-12	root metagenome	Populus endosphere	gold:Gs0103573	img.taxon:3300006353		BIOSAMPLE:SAMN06343959	Populus						BIOSAMPLE:SAMN06343959
gold:Gb0115848	Bulk soil microbial communities from a Populus tree surrounding site in Tennessee, USA - Soil MetaG P. deltoides SBSDD1		{'has_raw_value': 'ENVO:00000446'}	{'has_raw_value': 'ENVO:00000291'}	{'has_raw_value': 'ENVO:00005802'}	nmdc:Biosample	{'has_raw_value': '2014-08-14'}	{'has_raw_value': '0.0', 'has_numeric_value': 0.0, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Tennessee'}	{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607}	Environmental	Terrestrial	Soil	Drainage basin	Bulk soil	2015-06-23	microbial community		Bulk soil	Soil MetaG P. deltoidesSBSDD1	Tennessee, USA	2021-06-16	soil metagenome	Bulk soil	gold:Gs0103573	img.taxon:3300027873		BIOSAMPLE:SAMN06264566	Populus						BIOSAMPLE:SAMN06264566
